Comment,Designator,Footprint,LCSC,Quantity
GND,J10,PinHeader_1x01_P2.54mm_Vertical,,1
DC +5V,J8,PinHeader_1x01_P2.54mm_Vertical,,1
DC 15GND,J7,PinHeader_1x01_P2.54mm_Vertical,,1
DC +15V,J6,PinHeader_1x01_P2.54mm_Vertical,,1
BC848,Q13,SOT-23,,1
BC856,Q20,SOT-23,,1
BC848,Q23,SOT-23,,1
470uF 50V,C2,CP_Radial_D13.0mm_P5.00mm,,1
4.7k,R62,R_0201_0603Metric,,1
100,R23,R_0201_0603Metric,,1
47k,R40,R_0201_0603Metric,,1
100,R51,R_0201_0603Metric,,1
100,R11,R_0201_0603Metric,,1
2k,R13,R_0201_0603Metric,,1
BC848,Q31,SOT-23,,1
BC848,Q7,SOT-23,,1
BC856,Q30,SOT-23,,1
4.7k,R58,R_0201_0603Metric,,1
4.7k,R3,R_0201_0603Metric,,1
BC856,Q6,SOT-23,,1
Grids and Anodes,J1,PinHeader_1x17_P2.54mm_Vertical,,1
74HC164,U3,SSOP-14_5.3x6.2mm_P0.65mm,,1
GPS Header,J9,PinHeader_1x04_P2.54mm_Vertical,,1
100,R55,R_0201_0603Metric,,1
47k,R56,R_0201_0603Metric,,1
4.7k,R38,R_0201_0603Metric,,1
4.7k,R34,R_0201_0603Metric,,1
BC856,Q8,SOT-23,,1
4.7k,R14,R_0201_0603Metric,,1
BC848,Q33,SOT-23,,1
2k,R21,R_0201_0603Metric,,1
2k,R41,R_0201_0603Metric,,1
BC848,Q15,SOT-23,,1
4.7k,R6,R_0201_0603Metric,,1
2k,R9,R_0201_0603Metric,,1
AC 15V,J3,PinHeader_1x02_P2.54mm_Vertical,,1
BC856,Q22,SOT-23,,1
BC856,Q16,SOT-23,,1
2k,R37,R_0201_0603Metric,,1
BC848,Q1,SOT-23,,1
BC856,Q26,SOT-23,,1
4.7k,R10,R_0201_0603Metric,,1
47k,R60,R_0201_0603Metric,,1
CH32V003 PROG,J2,PinHeader_1x04_P2.54mm_Vertical,,1
BC856,Q4,SOT-23,,1
BC848,Q9,SOT-23,,1
BC856,Q32,SOT-23,,1
2k,R5,R_0201_0603Metric,,1
BC848,Q19,SOT-23,,1
2k,R1,R_0201_0603Metric,,1
100,R39,R_0201_0603Metric,,1
47k,R28,R_0201_0603Metric,,1
4.7k,R42,R_0201_0603Metric,,1
100,R19,R_0201_0603Metric,,1
BC856,Q12,SOT-23,,1
47k,R36,R_0201_0603Metric,,1
BC856,Q34,SOT-23,,1
100,R59,R_0201_0603Metric,,1
2k,R33,R_0201_0603Metric,,1
2k,R25,R_0201_0603Metric,,1
100,R31,R_0201_0603Metric,,1
4.7k,R22,R_0201_0603Metric,,1
100,R15,R_0201_0603Metric,,1
47k,R16,R_0201_0603Metric,,1
47k,R68,R_0201_0603Metric,,1
4.7k,R50,R_0201_0603Metric,,1
4.7k,R30,R_0201_0603Metric,,1
100,R67,R_0201_0603Metric,,1
100,R7,R_0201_0603Metric,,1
47k,R48,R_0201_0603Metric,,1
100,R27,R_0201_0603Metric,,1
BC856,Q28,SOT-23,,1
47k,R20,R_0201_0603Metric,,1
47k,R8,R_0201_0603Metric,,1
BC856,Q24,SOT-23,,1
AC Filament Middle,J5,PinHeader_1x01_P2.54mm_Vertical,,1
2k,R65,R_0201_0603Metric,,1
100,R2,R_0201_0603Metric,,1
47k,R32,R_0201_0603Metric,,1
BC848,Q5,SOT-23,,1
1N4007,D1,D_DO-41_SOD81_P10.16mm_Horizontal,,1
BC848,Q29,SOT-23,,1
47k,R52,R_0201_0603Metric,,1
100,R43,R_0201_0603Metric,,1
47k,R4,R_0201_0603Metric,,1
2k,R61,R_0201_0603Metric,,1
2k,R49,R_0201_0603Metric,,1
47k,R44,R_0201_0603Metric,,1
BC848,Q25,SOT-23,,1
100,R63,R_0201_0603Metric,,1
100,R47,R_0201_0603Metric,,1
47uF 100V,C1,CP_Radial_D10.0mm_P5.00mm,,1
BC848,Q11,SOT-23,,1
AC 27V,J4,PinHeader_1x02_P2.54mm_Vertical,,1
BC856,Q18,SOT-23,,1
74HC164,U1,SSOP-14_5.3x6.2mm_P0.65mm,,1
BC848,Q17,SOT-23,,1
2k,R53,R_0201_0603Metric,,1
4.7k,R54,R_0201_0603Metric,,1
CH32V003FxPx,U2,TSSOP-20_4.4x6.5mm_P0.65mm,,1
2k,R17,R_0201_0603Metric,,1
BC856,Q2,SOT-23,,1
4.7k,R18,R_0201_0603Metric,,1
47k,R12,R_0201_0603Metric,,1
2k,R57,R_0201_0603Metric,,1
4.7k,R26,R_0201_0603Metric,,1
BC848,Q21,SOT-23,,1
BC848,Q3,SOT-23,,1
2k,R29,R_0201_0603Metric,,1
BC856,Q10,SOT-23,,1
GBU4M,D2,Diode_Bridge_Vishay_GBU,,1
BC856,Q14,SOT-23,,1
4.7k,R46,R_0201_0603Metric,,1
4.7k,R66,R_0201_0603Metric,,1
100,R35,R_0201_0603Metric,,1
2k,R45,R_0201_0603Metric,,1
47k,R24,R_0201_0603Metric,,1
BC848,Q27,SOT-23,,1
47k,R64,R_0201_0603Metric,,1
GBU4M,D3,Diode_Bridge_Vishay_GBU,,1
