Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,47uF 100V,CP_Radial_D10.0mm_P5.00mm,61.0,-71.8677,90.0,top
C2,470uF 50V,CP_Radial_D13.0mm_P5.00mm,102.5,-53.5,0.0,top
D1,1N4007,D_DO-41_SOD81_P10.16mm_Horizontal,72.0,-43.0,90.0,top
D2,GBU4M,Diode_Bridge_Vishay_GBU,96.88,-66.5,0.0,top
D3,GBU4M,Diode_Bridge_Vishay_GBU,72.0,-69.12,90.0,top
J1,Grids and Anodes,PinHeader_1x17_P2.54mm_Vertical,18.0,-40.04,180.0,top
J10,GND,PinHeader_1x01_P2.54mm_Vertical,79.5,-43.5,0.0,top
J2,CH32V003 PROG,PinHeader_1x04_P2.54mm_Vertical,58.01,-54.5,90.0,top
J3,AC 15V,PinHeader_1x02_P2.54mm_Vertical,94.495,-74.5,90.0,top
J4,AC 27V,PinHeader_1x02_P2.54mm_Vertical,84.0,-74.505,180.0,top
J5,AC Filament Middle,PinHeader_1x01_P2.54mm_Vertical,18.0,-14.5,90.0,top
J6,DC +15V,PinHeader_1x01_P2.54mm_Vertical,89.5,-58.5,0.0,top
J7,DC 15GND,PinHeader_1x01_P2.54mm_Vertical,79.5,-58.5,0.0,top
J8,DC +5V,PinHeader_1x01_P2.54mm_Vertical,89.5,-43.5,0.0,top
J9,GPS Header,PinHeader_1x04_P2.54mm_Vertical,39.23,-48.0,-90.0,top
Q1,BC848,SOT-23,72.5,-28.9375,90.0,top
Q10,BC856,SOT-23,93.45,-24.0625,90.0,top
Q11,BC848,SOT-23,97.5,-28.9375,90.0,top
Q12,BC856,SOT-23,98.5,-24.0,90.0,top
Q13,BC848,SOT-23,102.5,-28.9375,90.0,top
Q14,BC856,SOT-23,103.5,-24.0,90.0,top
Q15,BC848,SOT-23,107.5,-28.9375,90.0,top
Q16,BC856,SOT-23,108.5,-24.0,90.0,top
Q17,BC848,SOT-23,67.5,-28.9375,90.0,top
Q18,BC856,SOT-23,68.5,-23.9375,90.0,top
Q19,BC848,SOT-23,62.5,-28.9375,90.0,top
Q2,BC856,SOT-23,73.5,-24.0,90.0,top
Q20,BC856,SOT-23,63.5,-23.9375,90.0,top
Q21,BC848,SOT-23,57.5,-28.9375,90.0,top
Q22,BC856,SOT-23,58.5,-23.9375,90.0,top
Q23,BC848,SOT-23,52.5,-28.9375,90.0,top
Q24,BC856,SOT-23,53.55,-24.0625,90.0,top
Q25,BC848,SOT-23,47.5,-29.0,90.0,top
Q26,BC856,SOT-23,48.55,-24.125,90.0,top
Q27,BC848,SOT-23,42.5,-29.0,90.0,top
Q28,BC856,SOT-23,43.5,-24.0,90.0,top
Q29,BC848,SOT-23,37.4375,-29.0125,90.0,top
Q3,BC848,SOT-23,77.5,-28.9375,90.0,top
Q30,BC856,SOT-23,38.5,-24.0,90.0,top
Q31,BC848,SOT-23,32.55,-29.0,90.0,top
Q32,BC856,SOT-23,33.6,-24.125,90.0,top
Q33,BC848,SOT-23,27.55,-29.0,90.0,top
Q34,BC856,SOT-23,28.55,-24.0,90.0,top
Q4,BC856,SOT-23,78.5,-23.9375,90.0,top
Q5,BC848,SOT-23,82.5,-28.9375,90.0,top
Q6,BC856,SOT-23,83.5,-24.0,90.0,top
Q7,BC848,SOT-23,87.5,-28.9375,90.0,top
Q8,BC856,SOT-23,88.5,-24.0,90.0,top
Q9,BC848,SOT-23,92.5,-28.9375,90.0,top
R1,2k,R_0201_0603Metric,72.5,-21.0,-90.0,top
R10,4.7k,R_0201_0603Metric,83.5,-31.845,-90.0,top
R11,100,R_0201_0603Metric,84.5,-21.0,-90.0,top
R12,47k,R_0201_0603Metric,15.0,-32.5,180.0,top
R13,2k,R_0201_0603Metric,87.5,-21.0,-90.0,top
R14,4.7k,R_0201_0603Metric,88.5,-31.845,-90.0,top
R15,100,R_0201_0603Metric,89.5,-21.0,-90.0,top
R16,47k,R_0201_0603Metric,15.0,-30.0,180.0,top
R17,2k,R_0201_0603Metric,92.5,-21.0,-90.0,top
R18,4.7k,R_0201_0603Metric,93.5,-31.845,-90.0,top
R19,100,R_0201_0603Metric,94.5,-21.0,-90.0,top
R2,100,R_0201_0603Metric,74.5,-21.0,-90.0,top
R20,47k,R_0201_0603Metric,15.0,-27.5,180.0,top
R21,2k,R_0201_0603Metric,97.5,-21.0,-90.0,top
R22,4.7k,R_0201_0603Metric,98.5,-31.845,-90.0,top
R23,100,R_0201_0603Metric,99.5,-21.0,-90.0,top
R24,47k,R_0201_0603Metric,15.0,-25.0,180.0,top
R25,2k,R_0201_0603Metric,102.5,-20.9375,-90.0,top
R26,4.7k,R_0201_0603Metric,103.5,-31.845,-90.0,top
R27,100,R_0201_0603Metric,104.5,-21.0,-90.0,top
R28,47k,R_0201_0603Metric,15.0,-22.5,180.0,top
R29,2k,R_0201_0603Metric,107.5,-21.0,-90.0,top
R3,4.7k,R_0201_0603Metric,73.5,-31.845,-90.0,top
R30,4.7k,R_0201_0603Metric,108.5,-31.845,-90.0,top
R31,100,R_0201_0603Metric,109.5,-21.0,-90.0,top
R32,47k,R_0201_0603Metric,15.0,-20.0,180.0,top
R33,2k,R_0201_0603Metric,67.5,-21.0,-90.0,top
R34,4.7k,R_0201_0603Metric,68.5,-31.845,-90.0,top
R35,100,R_0201_0603Metric,69.5,-21.0,-90.0,top
R36,47k,R_0201_0603Metric,15.0,-40.0,180.0,top
R37,2k,R_0201_0603Metric,62.5,-21.0,-90.0,top
R38,4.7k,R_0201_0603Metric,63.5,-31.845,-90.0,top
R39,100,R_0201_0603Metric,64.5,-21.0,-90.0,top
R4,47k,R_0201_0603Metric,15.0,-37.5,180.0,top
R40,47k,R_0201_0603Metric,15.0,-42.5,180.0,top
R41,2k,R_0201_0603Metric,57.5,-20.9375,-90.0,top
R42,4.7k,R_0201_0603Metric,58.5,-31.82,-90.0,top
R43,100,R_0201_0603Metric,59.5,-21.0,-90.0,top
